,ID,gender,age,race,country_home,state_home,county_home,sports_5_12,sports_13_18,primary_sport_highschool,secondary_sport_highschool,leadership_role_highschool,stop_point,study_time_highschool,club_participation_highschool,club_highschool_num,highschool_gpa,highschool_training_days_per_week,highschool_training_hours_per_day,college_athlete_desire,sports_on_college_app,year_in_school,major,college_name,major_not_bing,not_bing_apply_bing,accepted_bing_not_bing,college_gpa,post_college_plan,college_ncaa_athlete,college_teams,college_intramural_sports,college_train_days_per_week,college_train_hours_per_day,sports_grade_impact,on_colleg_athlete_scholarship,how_recruited_to_ncaa
0,0,MALE,21,WHITE,US,NY,NEW YORK,NO,NO,NONE,NONE,NO,NEVER PLAYED,3,NO,0,96.0,0,0,NO,NO,SENIOR,"POLITICAL SCIENCE, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.72,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
1,1,MALE,21,WHITE,US,NY,ROCKLAND,YES,YES,XC/TRACK AND FIELD,BASEBALL,YES,END OF HIGH SCHOOL,3,YES,1,96.0,7,3,YES,YES,SENIOR,"MATHEMATICAL SCIENCES, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.18,EMPLOYMENT,NO,NONE,YES,0,0,POSITIVE EFFECT,NO,NOT A NCAA ATHLETE
2,2,MALE,21,WHITE,US,NY,SUFFOLK,YES,YES,BASEBALL,XC/TRACK AND FIELD,YES,END OF HIGH SCHOOL,2,YES,1,98.0,6,2,YES,YES,SENIOR,"POLITICAL SCIENCE, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.5,GRADUATE SCHOOL,NO,NONE,YES,0,0,POSITIVE EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
3,3,MALE,21,WHITE,US,NY,NASSAU,YES,YES,TENNIS,NONE,YES,NEVER STOPPED,8,YES,5,99.3,5,2,NO,YES,SENIOR,"MATHEMATICAL SCIENCES, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.9,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
4,4,FEMALE,21,WHITE,US,MA,PLYMOUTH,YES,YES,SOFTBALL,FIELD HOCKEY,YES,END OF HIGH SCHOOL,3,NO,0,UNKNOWN,6,2,NO,YES,SENIOR,"ENGLISH, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.98,GRADUATE SCHOOL,NO,NONE,NO,0,0,NO EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
5,5,FEMALE,20,BLACK OR AFRICAN AMERICAN,US,NY,KINGS,YES,YES,SWIMMING AND DIVING,NONE,NO,END OF HIGH SCHOOL,5,YES,1,98.0,3,2,NO,YES,SENIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.7,EMPLOYMENT,NO,NONE,NO,0,0,POSITIVE EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
6,6,FEMALE,21,WHITE,US,NY,NASSAU,YES,YES,VOLLEYBALL,LACROSSE,NO,END OF HIGH SCHOOL,4,YES,2,96.0,5,2,NO,YES,SENIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.55,EMPLOYMENT,NO,NONE,YES,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
7,7,FEMALE,21,HISPANIC OR LATINO,US,NY,WESTCHESTER,YES,YES,XC/TRACK AND FIELD,XC/TRACK AND FIELD,YES,NEVER STOPPED,4,YES,1,98.0,6,2,YES,YES,SENIOR,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,HEALTH SCIENCE,NO,DID NOT APPLY,3.2,GRADUATE SCHOOL,YES,XC/TRACK AND FIELD,NO,6,2,POSITIVE EFFECT,YES,RECRUITED
8,8,MALE,21,WHITE,US,NY,UNKNOWN,YES,YES,LACROSSE,NONE,NO,END OF HIGH SCHOOL,3,YES,2,94.0,6,2,NO,YES,SENIOR,"SOCIOLOGY, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.3,EMPLOYMENT,NO,NONE,NO,0,0,POSITIVE EFFECT,NO,NOT A NCAA ATHLETE
9,9,FEMALE,21,WHITE,US,NY,NASSAU,YES,YES,LACROSSE,VOLLEYBALL,NO,DURING HIGH SCHOOL,2,YES,2,98.0,4,1,NO,NO,SENIOR,"BIOLOGICAL SCIENCES, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.67,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
10,10,FEMALE,21,WHITE,US,NY,UNKNOWN,YES,YES,FIELD HOCKEY,NONE,NO,END OF HIGH SCHOOL,4,YES,1,96.0,2,2,NO,YES,SENIOR,"ENGLISH, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.81,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
